username,text,followers_count,friends_count,statuses_count,label
tracy_anderson,"Working on improving my data visualization skills with D3.js. Challenging!",2280,415,1090,0
ursula_thomas,"FREE VACATION GIVEAWAY!!! http://fake.travel/win Follow and RT now!!!",112,11200,31500,1
vince_jackson,"Enjoying a lazy Sunday with pancakes and coffee. Simple pleasures!",1780,318,760,0
wanda_white,"CLICK HERE FOR FREE STUFF!!! http://spam.com/free Amazing deals! @everyone",85,14800,38500,1
xander_harris,"Exploring machine learning interpretability techniques. SHAP values are cool!",2580,475,1340,0
yvonne_martin,"LOSE 50 POUNDS IN 1 WEEK!!! http://fake.weightloss/miracle Guaranteed!!!",122,10500,30000,1
zoe_garcia,"Had a great time at the tech meetup. Networking with fellow developers!",2050,385,960,0
adam_rodriguez,"BUY CHEAP ELECTRONICS!!! http://counterfeit.com/shop Best prices ever!!!",78,15200,39500,1
bella_wilson,"Learning about blockchain technology. Decentralization is fascinating!",2380,435,1160,0
carl_brown,"FOLLOW ME NOW!!! http://bots.follow/me Instant follow back! @spam @bot",90,13500,35000,1
donna_davis,"Finished a challenging coding project. Time to celebrate with ice cream!",1920,345,850,0
eric_miller,"AMAZING BUSINESS OPPORTUNITY!!! http://mlm.scam/join Be your own boss!!!",105,12000,32000,1
fiona_moore,"Reading about quantum computing. The future of computing is mind-blowing!",2480,455,1260,0
george_taylor,"FREE GIFT CARDS FOR EVERYONE!!! http://phishing.cards/get Click now!!!",94,13800,36000,1
hannah_anderson,"Spent the afternoon gardening. Growing your own vegetables is rewarding!",1840,328,800,0
ian_thomas,"WORK FROM HOME OPPORTUNITY!!! http://scam.work/easy Make money fast!!!",102,12500,33000,1
julia_jackson,"Exploring the world of DevOps and CI/CD pipelines. Automation is key!",2320,425,1120,0
kevin_white,"URGENT!!! CLAIM YOUR PRIZE NOW!!! http://lottery.fake/claim Limited time!!!",87,14500,37500,1
laura_harris,"Enjoying a peaceful morning with yoga and meditation. Self-care matters!",1860,332,820,0
mike_martin,"BUY INSTAGRAM FOLLOWERS!!! http://bots.insta/buy Real looking accounts!!!",96,13000,34000,1
nina_garcia,"Working on a new data analysis project with pandas. Python is amazing!",2420,445,1200,0
owen_rodriguez,"CLICK FOR FREE MONEY!!! http://scam.cash/free No catch! Just click!!!",80,15000,40000,1
paula_wilson,"Had a wonderful dinner with friends. Good food and great company!",1900,340,860,0
quentin_brown,"AMAZING WEIGHT LOSS SECRET!!! http://fake.fitness/secret Doctors hate it!!!",110,11500,31000,1
rita_davis,"Learning about containerization with Docker. Modern deployment is efficient!",2360,440,1180,0
sean_miller,"FOLLOW FOR INSTANT PRIZES!!! http://fake.prizes/win Click and follow!!!",92,13500,35500,1
tara_moore,"Finished a great book on productivity. Time management is so important!",1820,330,780,0
umar_taylor,"BUY CHEAP MEDICATIONS!!! http://pharmacy.fake/pills No prescription needed!!!",75,15800,42000,1
vera_anderson,"Exploring the latest features in TypeScript. Type safety is wonderful!",2300,420,1100,0
walt_thomas,"URGENT ACCOUNT VERIFICATION!!! http://phish.bank/verify Act now!!!",68,16000,43000,1
xena_jackson,"Spent the day at the beach. Ocean waves are so calming and peaceful!",1880,335,840,0
yale_white,"MAKE MONEY WHILE YOU SLEEP!!! http://passive.scam/income Easy system!!!",98,12800,33500,1
zelda_harris,"Working on improving my SQL query optimization skills. Databases are fun!",2280,415,1140,0
alan_martin,"FREE CRYPTOCURRENCY GIVEAWAY!!! http://crypto.scam/airdrop Limited time!!!",88,14000,36000,1
beth_garcia,"Enjoying a quiet evening with a puzzle. Relaxation at its finest!",1840,328,800,0
chad_rodriguez,"CLICK HERE TO GET RICH!!! http://pyramid.fake/join Join our team!!!",82,15200,39000,1
dora_wilson,"Learning about microservices architecture. Scalability is crucial!",2400,435,1180,0
evan_brown,"BUY FAKE DESIGNER GOODS!!! http://counterfeit.fashion/shop Cheap prices!!!",76,15500,41000,1
faith_davis,"Had a productive day organizing my workspace. Clean desk, clear mind!",1900,340,860,0
gary_miller,"AMAZING INVESTMENT RETURNS!!! http://ponzi.invest/high Guaranteed profit!!!",90,13800,35500,1
helen_moore,"Exploring the world of functional programming. Immutability is elegant!",2340,428,1150,0
ivan_taylor,"URGENT!!! VERIFY YOUR IDENTITY!!! http://identity.phish/verify Now!!!",70,16200,43500,1
jane_anderson,"Spent the morning baking cookies. The smell of fresh cookies is amazing!",1860,332,820,0
kyle_thomas,"FOLLOW AND WIN BIG PRIZES!!! http://fake.lottery/enter Click to enter!!!",94,13200,34500,1
lisa_jackson,"Working on a new mobile app with React Native. Cross-platform is great!",2380,440,1190,0
mark_white,"BUY VIEWS AND LIKES CHEAP!!! http://social.bots/buy Boost your profile!!!",85,14800,37500,1
nancy_harris,"Enjoying a cup of herbal tea while reading. Perfect evening activity!",1820,325,790,0
otto_martin,"MAKE THOUSANDS DAILY!!! http://scam.daily/income No experience needed!!!",100,12500,32500,1
pam_garcia,"Learning about graph databases and Neo4j. Relationships matter in data!",2320,422,1130,0
ray_rodriguez,"URGENT SECURITY UPDATE!!! http://malware.download/update Install now!!!",72,16500,44000,1
sue_wilson,"Had a great time volunteering at the local shelter. Giving back feels good!",1880,335,830,0
tom_brown,"AMAZING FOREX TRADING SYSTEM!!! http://forex.scam/robot Automated profits!!!",92,13500,35000,1
uma_davis,"Exploring the latest trends in UI/UX design. User experience is everything!",2360,438,1170,0
vic_miller,"FREE MONEY GENERATOR!!! http://generator.fake/cash Unlimited money!!!",78,15800,42000,1
wendy_moore,"Finished a challenging crossword puzzle. Mental exercise is important!",1840,328,800,0
xavier_taylor,"CLICK TO CLAIM YOUR REWARD!!! http://reward.scam/claim Act fast!!!",86,14500,37000,1
yolanda_anderson,"Working on improving my Git workflow. Version control is essential!",2300,418,1110,0
zane_thomas,"BUY ESSAY WRITING SERVICES!!! http://cheat.edu/essays Guaranteed grades!!!",74,16000,43000,1
alice_jackson,"Spent the day exploring a new city. Travel broadens the mind!",1900,340,850,0
bob_white,"AMAZING DIET PILLS!!! http://diet.fake/pills Lose weight instantly!!!",96,13000,34000,1
carol_harris,"Learning about serverless architecture with AWS Lambda. Cloud is powerful!",2340,430,1150,0
dan_martin,"FOLLOW FOR FOLLOW BACK GUARANTEED!!! http://follow.bot/back @everyone",88,14200,36500,1
ella_garcia,"Enjoying a peaceful morning walk. Fresh air and exercise are wonderful!",1860,332,810,0
frank_rodriguez,"URGENT!!! YOUR PACKAGE IS WAITING!!! http://phish.delivery/track Click!!!",70,16800,44500,1
gail_wilson,"Working on a new API design with GraphQL. Modern APIs are so flexible!",2380,442,1180,0
hank_brown,"BUY CHEAP SOFTWARE LICENSES!!! http://piracy.software/keys Best deals!!!",80,15200,40000,1
iris_davis,"Had a wonderful time at the farmers market. Fresh produce is the best!",1820,325,780,0
jeff_miller,"MAKE MONEY WITH BITCOIN!!! http://crypto.ponzi/invest Get rich quick!!!",94,13500,35500,1
kate_moore,"Exploring the world of data engineering. Building pipelines is satisfying!",2320,425,1140,0
leo_taylor,"URGENT ACCOUNT SUSPENDED!!! http://suspended.phish/restore Click now!!!",68,17000,45000,1
mary_anderson,"Spent the afternoon painting. Art is such a great form of expression!",1880,335,830,0
neil_thomas,"AMAZING BUSINESS SYSTEM!!! http://mlm.fake/opportunity Financial freedom!!!",92,13800,35000,1
olive_jackson,"Learning about Kubernetes and container orchestration. DevOps is evolving!",2360,435,1170,0
pete_white,"BUY CHEAP CONCERT TICKETS!!! http://scalper.tickets/buy Limited quantity!!!",82,15500,41000,1
quinn_harris,"Enjoying a cozy evening with hot chocolate and a movie. Perfect night!",1840,328,800,0
rick_martin,"CLICK FOR INSTANT CASH!!! http://cash.scam/instant No questions asked!!!",86,14800,37500,1
sara_garcia,"Working on improving my testing skills with Jest. Quality code matters!",2300,420,1120,0
tony_rodriguez,"URGENT TAX REFUND WAITING!!! http://irs.phish/refund Claim immediately!!!",72,16500,44000,1
violet_wilson,"Had a great time at the book club meeting. Discussing literature is fun!",1900,340,850,0
wade_brown,"AMAZING PENNY STOCKS!!! http://stocks.scam/tips Get rich with trading!!!",90,13200,34500,1
xena_davis,"Exploring the world of ethical hacking. Cybersecurity is fascinating!",2340,428,1150,0
yale_miller,"BUY FAKE DIPLOMAS!!! http://diploma.fake/buy Accredited looking degrees!!!",76,16000,43000,1
zara_moore,"Spent the day organizing photos. Memories are precious and worth keeping!",1860,332,810,0
